trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.5, 'e': 0.9916910320548965}",25,0,-286.98297612923386,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 5}",0
87,False,"{'a': 0.5, 'e': 0.9914969527009447}",25,7,-59.81292284802469,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.9913006424792677}",25,0,-259.54012313567176,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 5}",0
89,False,"{'a': 0.5, 'e': 0.9911021018315633}",25,10,-101.5743432016633,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 2}",1
90,False,"{'a': 0.5, 'e': 0.9909013312045479}",25,0,-217.78506729348706,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
91,False,"{'a': 0.5, 'e': 0.9906983310499554}",30,0,-91.92363987969206,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.9904931018245359}",20,0,-85.29737177328927,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.9902856439900551}",20,3,-94.64890677078074,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.9900759580132933}",20,6,-88.08904828533888,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 2}",1
95,False,"{'a': 0.5, 'e': 0.9898640443660435}",30,0,-337.0227992242297,"{0: 12, 1: 5, 2: 4, 3: 4, 4: 5}",0
96,False,"{'a': 0.5, 'e': 0.9896499035251115}",20,0,-73.19738613008936,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.9894335359723141}",25,0,-79.78523860615887,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.9892149421944781}",25,0,-95.22287387310774,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.9889941226834397}",35,0,-226.33447347165492,"{0: 18, 1: 2, 2: 10, 3: 3, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.9887710779360422}",25,0,-165.22190453636875,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
101,False,"{'a': 0.5, 'e': 0.9885458084541368}",25,0,-129.40887068896873,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.9883183147445792}",25,0,-137.6105305497587,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.9880885973192304}",30,0,-223.09386977503218,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
104,False,"{'a': 0.5, 'e': 0.9878566566949545}",25,0,-177.6676691667478,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
105,False,"{'a': 0.5, 'e': 0.9876224933936179}",25,0,-87.42757862282326,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.9873861079420876}",25,0,-69.9247807147741,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.9871475008722311}",20,0,-86.67935092253056,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.986906672720914}",20,0,-89.47948340931619,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.9866636240299999}",30,0,-136.3962494635704,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.9864183553463477}",20,0,-111.72356348478257,"{0: 10, 1: 1, 2: 6, 3: 3, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.9861708672218122}",25,0,-233.94757539063542,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 4}",0
112,False,"{'a': 0.5, 'e': 0.9859211602132415}",25,0,-54.34679853754264,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.9856692348824763}",25,0,-45.194114968758534,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.9854150917963483}",20,0,-113.88718682004495,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
115,False,"{'a': 0.5, 'e': 0.9851587315266797}",20,0,-46.00958210317427,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.9849001546502806}",20,0,-48.3696143914367,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.9846393617489492}",25,0,-142.5868105108474,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
118,False,"{'a': 0.5, 'e': 0.984376353409469}",20,0,-196.83707967644105,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
119,False,"{'a': 0.5, 'e': 0.9841111302236092}",20,0,-128.87628977106107,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.9838436927881214}",30,0,-144.72591047310533,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
121,False,"{'a': 0.5, 'e': 0.9835740417047399}",35,0,-195.32927811619518,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
